Crop,Disease,Temperature(C),Humidity(%),Rainfall(mm),Soil_pH,Soil_Moisture(%),Leaf_Spots,Wilting
Soybean,Healthy,27.9,92,323,7.7,11,0,0
Apple,Apple Scab,41.9,50,131,7.8,29,0,1
Banana,Sigatoka,36.4,81,335,6.9,20,1,0
Chilli,Anthracnose,40.7,82,89,6.8,50,1,1
Apple,Fire Blight,16.9,33,55,4.9,88,1,1
Wheat,Powdery Mildew,37.0,46,14,7.7,15,1,1
Chilli,Healthy,43.5,85,27,7.1,77,0,0
Maize,Leaf Blight,24.8,52,31,6.9,70,1,1
Sugarcane,Healthy,29.9,57,374,7.5,81,1,0
Cotton,Leaf Curl Virus,33.7,76,223,6.7,35,1,0
Soybean,Healthy,24.9,88,324,6.9,23,0,0
Wheat,Smut,39.9,38,136,6.0,52,1,0
Onion,Healthy,27.0,87,100,6.5,64,0,0
Onion,Healthy,26.8,59,13,8.1,19,0,0
Groundnut,Tikka Disease,17.4,31,317,5.0,31,1,1
Cotton,Healthy,40.5,55,386,6.9,30,0,0
Tomato,Late Blight,22.6,67,373,7.1,37,1,0
Soybean,Bacterial Blight,43.2,60,14,4.9,38,1,1
Sugarcane,Red Rot,40.0,38,323,4.8,69,1,0
Wheat,Powdery Mildew,21.7,45,279,4.9,73,0,1
Sugarcane,Red Rot,20.5,87,269,6.4,58,1,0
Potato,Healthy,25.7,61,318,5.8,53,0,0
Maize,Healthy,35.8,65,241,6.8,63,0,0
Tomato,Early Blight,20.5,63,137,7.2,52,1,1
Cotton,Leaf Curl Virus,44.1,45,100,5.4,41,1,1
Wheat,Smut,29.6,32,280,6.4,20,1,1
Chilli,Healthy,31.5,83,243,6.2,33,0,0
Chilli,Leaf Curl,18.2,69,353,4.9,56,0,1
Groundnut,Tikka Disease,15.1,93,199,4.9,48,1,1
Apple,Healthy,44.3,31,297,7.8,36,0,0
Chilli,Healthy,25.1,62,189,7.4,40,0,0
Cotton,Healthy,36.4,89,52,6.6,61,0,0
Rice,Bacterial Leaf Blight,41.4,76,65,6.6,72,0,1
Grapes,Healthy,38.6,62,205,5.5,59,0,0
Rice,Brown Spot,36.1,46,286,7.3,21,0,1
Chilli,Leaf Curl,33.1,41,371,6.0,60,1,1
Chilli,Leaf Curl,39.0,58,121,6.9,88,0,0
Banana,Panama Disease,23.2,49,174,5.6,11,1,1
Mango,Healthy,24.9,54,36,5.5,51,0,1
Cotton,Boll Rot,19.8,65,192,7.0,72,1,1
Wheat,Healthy,23.3,54,279,5.4,15,0,0
Onion,Downy Mildew,43.7,87,23,5.5,62,1,1
Groundnut,Rust,25.1,84,97,7.2,32,1,0
Potato,Healthy,19.0,41,233,7.8,31,0,0
Cotton,Leaf Curl Virus,43.7,31,276,5.2,14,1,0
Wheat,Healthy,17.2,55,325,5.6,22,0,1
Grapes,Healthy,31.6,76,98,6.4,49,0,0
Soybean,Rust,25.4,82,87,6.8,69,1,0
Soybean,Bacterial Blight,38.1,53,168,6.5,12,1,1
Banana,Healthy,29.4,79,13,7.6,11,0,0
Cotton,Boll Rot,40.7,74,273,6.4,42,0,1
Mango,Powdery Mildew,36.4,43,125,6.2,74,0,1
Apple,Fire Blight,38.5,49,211,6.6,76,1,1
Soybean,Bacterial Blight,15.9,85,112,7.7,58,1,0
Potato,Healthy,23.0,67,135,5.8,13,0,0
Mango,Powdery Mildew,28.5,75,373,4.8,28,1,1
Tomato,Septoria Leaf Spot,22.0,38,135,7.0,50,1,1
Banana,Sigatoka,15.5,51,74,6.9,41,1,1
Cotton,Boll Rot,31.6,36,206,8.1,45,1,0
Tomato,Late Blight,38.6,85,378,7.5,41,0,1
Cotton,Boll Rot,44.6,67,314,6.3,82,0,1
Sugarcane,Smut,33.3,50,5,6.8,14,1,1
Soybean,Bacterial Blight,25.6,53,86,7.5,20,1,1
Mango,Anthracnose,44.9,41,368,7.8,50,1,0
Chilli,Anthracnose,27.4,43,88,5.1,53,1,1
Grapes,Powdery Mildew,40.4,52,374,6.6,32,1,1
Soybean,Rust,35.9,60,301,6.6,72,1,1
Rice,Bacterial Leaf Blight,34.8,63,380,5.1,42,1,1
Maize,Healthy,22.5,33,380,5.1,40,1,0
Apple,Healthy,22.5,75,393,7.9,12,1,0
Chilli,Anthracnose,25.4,89,376,5.0,49,1,1
Banana,Panama Disease,17.0,36,270,7.8,66,0,1
Chilli,Leaf Curl,34.2,70,333,7.3,65,0,1
Groundnut,Tikka Disease,39.9,53,156,6.1,25,1,1
Cotton,Leaf Curl Virus,41.9,85,138,8.2,85,1,0
Potato,Late Blight,30.1,42,28,6.7,33,1,0
Rice,Blast,29.9,77,32,7.3,65,1,1
Grapes,Powdery Mildew,43.9,34,308,6.2,39,1,1
Potato,Early Blight,16.5,87,41,5.6,88,0,1
Groundnut,Rust,24.7,81,322,4.9,29,1,0
Maize,Leaf Blight,29.7,80,329,6.5,64,0,1
Tomato,Healthy,44.3,78,210,7.4,34,0,0
Grapes,Powdery Mildew,15.9,81,42,5.1,52,1,0
Mango,Powdery Mildew,26.8,48,224,7.0,31,1,1
Rice,Blast,32.6,94,4,6.0,22,1,0
Wheat,Smut,22.5,83,177,6.1,75,1,1
Maize,Leaf Blight,40.9,81,119,6.9,74,1,0
Mango,Anthracnose,24.4,55,389,7.6,67,1,1
Maize,Downy Mildew,26.8,39,83,7.3,77,1,1
Soybean,Rust,16.9,45,243,8.1,75,1,0
Maize,Leaf Blight,31.0,61,254,7.9,50,1,1
Onion,Healthy,33.3,62,365,7.3,78,0,0
Maize,Downy Mildew,23.5,79,310,6.1,55,1,0
Tomato,Late Blight,20.5,56,245,5.4,12,1,0
Grapes,Powdery Mildew,41.2,67,113,6.0,67,1,0
Mango,Healthy,42.3,86,254,5.1,13,0,0
Apple,Apple Scab,18.9,39,82,6.2,20,1,1
Sugarcane,Red Rot,41.6,53,368,5.4,18,1,0
Maize,Downy Mildew,36.1,80,98,6.4,86,0,1
Tomato,Early Blight,36.0,86,75,6.9,45,0,1
Potato,Early Blight,37.6,65,173,5.6,54,1,1
Potato,Healthy,28.6,37,67,6.8,41,0,0
Soybean,Healthy,17.8,84,118,6.5,81,1,0
Potato,Early Blight,24.4,65,209,7.0,16,1,1
Apple,Fire Blight,43.9,95,132,4.8,53,1,1
Cotton,Boll Rot,16.2,56,223,7.7,48,0,1
Cotton,Leaf Curl Virus,22.8,33,152,8.0,46,1,0
Apple,Healthy,34.5,54,108,5.7,16,0,0
Grapes,Healthy,18.5,41,166,6.8,36,0,0
Rice,Bacterial Leaf Blight,19.9,38,228,5.9,73,1,0
Cotton,Leaf Curl Virus,30.1,59,254,8.1,75,1,0
Apple,Fire Blight,19.6,63,211,8.0,42,1,1
Tomato,Early Blight,24.6,42,292,6.6,73,0,0
Mango,Healthy,18.1,52,243,6.9,22,0,0
Sugarcane,Smut,18.6,77,24,7.6,18,0,1
Grapes,Downy Mildew,17.1,78,69,7.6,49,0,0
Wheat,Healthy,17.0,78,18,6.2,46,0,0
Mango,Healthy,43.4,86,156,6.8,72,0,0
Sugarcane,Red Rot,16.4,60,313,8.1,72,1,1
Tomato,Early Blight,37.4,55,297,6.3,38,1,1
Wheat,Smut,16.8,68,309,6.9,51,1,1
Cotton,Boll Rot,24.5,31,2,5.7,71,1,1
Potato,Late Blight,30.9,35,334,4.9,36,0,0
Groundnut,Tikka Disease,31.8,59,167,5.5,10,1,0
Maize,Leaf Blight,33.7,58,241,5.8,35,1,0
Chilli,Anthracnose,16.6,91,39,5.1,35,1,0
Mango,Powdery Mildew,16.1,94,216,7.0,37,1,0
Rice,Brown Spot,28.3,63,28,6.7,19,1,1
Banana,Sigatoka,24.7,73,32,7.1,25,1,1
Onion,Healthy,22.3,68,88,5.7,61,1,0
Wheat,Rust,25.6,72,101,7.9,90,0,1
Cotton,Healthy,18.9,68,400,6.9,35,0,0
Potato,Healthy,18.1,59,270,4.9,85,0,0
Mango,Powdery Mildew,17.1,86,285,7.9,75,1,1
Grapes,Healthy,32.3,54,70,5.0,53,0,0
Rice,Healthy,34.5,93,203,6.8,41,0,0
Sugarcane,Smut,16.5,46,112,7.2,41,0,1
Grapes,Healthy,36.9,48,310,6.1,75,0,0
Wheat,Rust,38.7,95,19,7.4,38,1,0
Groundnut,Rust,28.4,32,5,5.2,47,1,1
Sugarcane,Smut,28.5,77,230,4.9,84,1,1
Cotton,Leaf Curl Virus,38.6,55,102,6.7,72,1,1
Mango,Healthy,38.4,49,292,6.8,75,0,0
Banana,Sigatoka,28.9,34,94,8.1,10,0,1
Soybean,Bacterial Blight,27.8,42,336,7.2,16,1,1
Onion,Downy Mildew,37.2,82,317,7.7,53,1,1
Potato,Healthy,27.3,63,319,5.6,21,0,0
Sugarcane,Healthy,42.8,32,285,8.1,58,0,0
Chilli,Leaf Curl,32.5,48,129,6.8,11,1,1
Rice,Healthy,37.4,36,134,6.7,78,0,0
Mango,Powdery Mildew,23.3,76,348,5.1,74,1,0
Grapes,Healthy,37.7,38,327,6.1,29,0,0
Mango,Powdery Mildew,17.6,50,155,7.0,13,1,0
Tomato,Early Blight,24.6,68,230,7.0,73,1,1
Rice,Healthy,22.2,46,383,7.8,10,0,0
Banana,Healthy,39.5,48,10,6.2,23,1,0
Apple,Fire Blight,32.4,79,338,7.8,22,1,1
Maize,Leaf Blight,29.6,84,247,6.5,68,1,1
Cotton,Healthy,22.7,85,212,5.6,75,0,1
Mango,Healthy,21.2,35,350,7.0,37,0,0
Mango,Powdery Mildew,35.3,32,1,7.9,48,1,1
Potato,Early Blight,31.0,85,168,7.3,67,1,1
Sugarcane,Red Rot,39.4,44,118,7.8,22,0,0
Apple,Apple Scab,40.3,33,365,7.1,68,0,1
Rice,Brown Spot,43.3,38,395,7.9,37,1,0
Mango,Healthy,41.2,37,321,5.5,23,0,0
Sugarcane,Red Rot,17.2,71,168,7.0,51,0,0
Banana,Sigatoka,41.9,46,199,5.0,37,1,0
Grapes,Powdery Mildew,23.6,31,7,6.6,78,0,1
Groundnut,Healthy,42.9,88,276,6.8,74,0,0
Rice,Blast,38.4,63,348,7.5,41,0,1
Mango,Anthracnose,24.8,54,393,7.6,14,1,1
Soybean,Rust,15.9,36,318,6.8,76,0,1
Mango,Healthy,18.9,58,227,5.4,30,0,0
Soybean,Bacterial Blight,35.2,37,270,7.4,32,1,0
Chilli,Healthy,15.7,71,271,7.9,49,0,0
Potato,Healthy,18.2,72,127,5.0,66,0,1
Groundnut,Healthy,23.6,77,183,7.1,11,0,1
Sugarcane,Red Rot,21.4,51,316,5.9,36,1,1
Potato,Healthy,29.2,39,304,6.2,68,0,0
Groundnut,Rust,26.8,67,198,7.9,56,1,1
Tomato,Septoria Leaf Spot,21.3,45,230,5.8,16,1,1
Grapes,Healthy,21.6,74,260,6.5,32,0,0
Chilli,Healthy,41.9,59,150,7.9,23,0,0
Soybean,Bacterial Blight,23.4,50,88,7.5,70,0,1
Cotton,Leaf Curl Virus,32.4,61,301,5.2,16,1,1
Mango,Healthy,25.6,47,376,6.3,31,0,0
Grapes,Healthy,17.0,86,19,7.5,50,1,0
Tomato,Healthy,30.0,82,279,6.6,51,1,0
Wheat,Smut,37.5,59,304,7.9,78,1,0
Banana,Panama Disease,20.6,62,50,6.7,38,0,1
Cotton,Leaf Curl Virus,40.4,34,135,6.0,71,1,1
Maize,Healthy,19.5,59,158,6.5,15,1,0
Banana,Sigatoka,31.8,79,248,5.2,74,1,0
Cotton,Healthy,39.6,40,309,6.3,79,0,0
Mango,Powdery Mildew,16.3,90,10,5.9,37,0,1
Cotton,Healthy,33.5,47,289,5.4,39,0,0
Grapes,Powdery Mildew,32.4,85,152,6.7,65,1,1
Wheat,Powdery Mildew,38.7,66,183,5.5,81,0,0
Onion,Healthy,20.6,92,222,6.9,63,1,0
Sugarcane,Healthy,26.3,50,301,6.0,33,0,0
Tomato,Early Blight,27.6,92,303,7.2,28,0,0
Onion,Downy Mildew,29.0,80,62,6.8,12,1,1
Cotton,Boll Rot,39.1,39,82,4.8,65,1,1
Cotton,Boll Rot,44.5,37,271,7.5,76,1,0
Grapes,Healthy,35.8,62,43,4.9,39,0,0
Banana,Sigatoka,41.3,80,392,5.8,60,1,1
Chilli,Leaf Curl,29.4,55,18,7.1,46,1,1
Rice,Blast,21.6,59,278,8.1,64,0,0
Sugarcane,Red Rot,42.5,58,37,7.2,59,1,1
Banana,Sigatoka,40.4,70,212,6.2,65,1,0
Banana,Panama Disease,42.7,39,316,7.5,25,1,0
Tomato,Healthy,18.0,62,172,6.9,90,0,0
Wheat,Healthy,36.8,31,1,6.1,51,0,0
Tomato,Healthy,29.3,61,187,8.2,90,0,0
Potato,Late Blight,18.7,69,157,8.0,26,1,1
Groundnut,Rust,41.5,38,192,8.0,80,1,1
Chilli,Healthy,17.4,49,129,7.7,14,0,0
Sugarcane,Healthy,39.0,59,185,7.0,39,0,0
Wheat,Powdery Mildew,27.3,40,355,6.4,56,1,1
Maize,Healthy,39.7,50,46,5.9,48,0,0
Onion,Purple Blotch,34.7,49,91,5.3,58,0,1
Wheat,Powdery Mildew,41.5,57,74,7.1,34,1,1
Maize,Leaf Blight,22.8,59,251,5.7,32,0,1
Potato,Healthy,17.9,92,313,5.4,12,0,1
Wheat,Healthy,17.0,66,107,5.9,47,0,0
Onion,Healthy,37.1,86,329,6.1,41,0,0
Chilli,Leaf Curl,37.3,95,394,8.1,41,0,1
Soybean,Rust,25.0,83,160,7.9,89,1,1
Tomato,Early Blight,32.4,63,146,5.8,80,1,1
Wheat,Rust,22.1,35,71,6.9,17,1,1
Onion,Healthy,32.8,38,159,5.9,35,1,0
Wheat,Healthy,42.7,60,190,7.0,30,0,0
Wheat,Rust,25.8,45,319,4.9,62,1,1
Maize,Healthy,22.8,53,158,7.1,86,0,0
Cotton,Healthy,44.2,87,379,7.2,73,0,0
Apple,Healthy,27.8,93,300,7.9,17,0,1
Rice,Bacterial Leaf Blight,21.8,87,113,6.1,71,1,1
Rice,Bacterial Leaf Blight,20.8,30,312,7.6,72,1,1
Mango,Anthracnose,17.1,53,31,5.1,25,0,0
Rice,Brown Spot,30.3,38,189,6.7,61,1,1
Mango,Anthracnose,32.3,42,233,7.7,53,1,1
Soybean,Bacterial Blight,39.3,62,156,6.8,58,1,0
Potato,Early Blight,29.1,64,172,6.9,59,0,0
Onion,Healthy,39.2,70,27,7.3,31,0,0
Cotton,Leaf Curl Virus,37.1,48,53,7.9,30,1,1
Sugarcane,Red Rot,29.2,90,254,6.7,46,1,1
Cotton,Boll Rot,26.9,43,155,6.4,18,1,1
Sugarcane,Healthy,19.0,72,76,6.2,46,0,0
Wheat,Powdery Mildew,19.3,94,161,5.9,49,0,0
Soybean,Rust,24.8,43,220,5.0,22,1,1
Mango,Healthy,38.9,70,135,4.9,74,0,1
Cotton,Leaf Curl Virus,34.3,75,266,4.9,47,1,1
Onion,Purple Blotch,28.5,58,162,4.9,15,1,1
Chilli,Leaf Curl,33.4,49,138,7.9,25,0,0
Sugarcane,Healthy,41.9,81,295,6.2,24,0,0
Maize,Healthy,16.7,47,138,5.4,30,0,0
Tomato,Early Blight,43.6,31,90,7.1,87,0,1
Rice,Healthy,21.5,90,321,7.5,43,0,0
Banana,Sigatoka,43.7,72,198,7.5,31,1,0
Groundnut,Tikka Disease,23.8,31,351,7.8,40,1,1
Sugarcane,Smut,36.4,85,376,8.2,23,1,1
Banana,Healthy,21.7,33,81,7.2,25,0,0
Sugarcane,Smut,19.4,38,312,7.5,29,1,0
Tomato,Septoria Leaf Spot,34.5,86,368,7.2,19,1,1
Grapes,Healthy,16.3,94,155,7.6,65,0,0
Sugarcane,Healthy,29.9,36,358,7.2,37,0,0
Grapes,Powdery Mildew,32.2,40,232,7.5,28,0,0
Sugarcane,Red Rot,15.7,63,257,5.2,19,1,0
Sugarcane,Smut,18.8,31,301,6.4,10,0,1
Potato,Early Blight,30.6,58,115,6.0,55,0,0
Tomato,Late Blight,33.7,80,46,7.1,23,1,0
Soybean,Healthy,34.4,81,10,7.9,16,0,0
Chilli,Leaf Curl,43.3,50,383,4.9,13,0,0
Sugarcane,Healthy,29.1,32,316,5.1,67,0,0
Soybean,Healthy,31.7,83,304,5.7,88,0,0
Onion,Healthy,43.5,69,221,6.6,36,0,0
Chilli,Anthracnose,27.6,58,196,7.5,23,1,1
Rice,Bacterial Leaf Blight,27.7,68,293,5.6,83,1,1
Sugarcane,Smut,16.5,79,323,7.0,44,0,0
Chilli,Anthracnose,22.7,45,151,5.7,10,1,1
Groundnut,Tikka Disease,30.7,94,347,5.8,72,0,0
Banana,Healthy,41.3,50,194,7.3,80,0,0
Groundnut,Rust,19.3,30,5,4.8,47,0,0
Grapes,Downy Mildew,31.5,51,235,6.8,66,1,1
Banana,Sigatoka,15.6,50,336,5.0,53,0,0
Maize,Leaf Blight,44.1,42,39,5.3,53,1,1
Groundnut,Rust,29.9,53,231,6.3,72,1,0
Grapes,Healthy,25.1,46,213,6.6,45,1,0
Apple,Apple Scab,42.3,81,345,7.1,14,1,0
Apple,Healthy,23.5,90,354,6.7,84,0,0
Cotton,Healthy,15.5,77,385,5.5,88,0,0
Chilli,Anthracnose,35.0,79,165,6.2,61,1,1
Grapes,Powdery Mildew,39.5,32,14,7.2,69,1,1
Soybean,Healthy,34.5,65,397,6.1,76,0,0
Grapes,Downy Mildew,44.2,84,217,7.6,12,1,1
Apple,Fire Blight,44.5,87,356,5.3,51,1,1
Soybean,Rust,36.1,46,398,6.1,31,0,1
Groundnut,Healthy,27.9,65,175,5.0,21,0,0
Banana,Panama Disease,17.5,86,322,7.2,78,1,1
Grapes,Downy Mildew,29.9,40,374,6.7,27,1,1
Chilli,Healthy,22.5,69,197,7.3,34,0,0
Chilli,Leaf Curl,19.0,56,102,7.7,48,0,1
Grapes,Downy Mildew,36.7,46,285,7.8,36,1,1
Apple,Fire Blight,29.6,52,274,8.1,77,1,0
Chilli,Healthy,44.8,92,175,6.3,22,0,0
Potato,Early Blight,44.2,61,324,7.5,19,1,1
Banana,Sigatoka,25.6,52,242,7.4,33,1,0
Groundnut,Tikka Disease,27.7,37,127,5.1,27,1,1
Potato,Healthy,43.9,40,347,5.5,19,1,1
Tomato,Healthy,26.3,51,60,5.8,73,1,0
Mango,Healthy,30.2,53,205,6.3,70,0,0
Cotton,Leaf Curl Virus,34.9,46,310,6.1,22,1,0
Grapes,Healthy,27.0,59,392,6.7,46,0,0
Apple,Apple Scab,30.1,68,231,5.1,51,0,1
Chilli,Anthracnose,24.2,67,119,7.3,77,1,0
Mango,Healthy,40.3,71,216,6.1,34,0,0
Maize,Leaf Blight,42.7,63,28,6.3,38,1,1
Onion,Healthy,22.2,53,353,7.5,33,0,1
Rice,Healthy,26.3,62,167,6.2,37,0,0
Wheat,Healthy,28.3,32,271,6.6,49,0,0
Groundnut,Healthy,34.7,58,345,5.5,11,0,1
Mango,Anthracnose,26.8,89,231,7.8,31,1,1
Potato,Early Blight,35.5,77,134,5.9,12,0,0
Cotton,Healthy,36.1,83,102,7.0,81,0,0
Apple,Apple Scab,20.7,69,43,7.1,31,1,0
Banana,Panama Disease,36.9,44,78,6.2,64,0,1
Potato,Late Blight,24.3,95,195,5.7,70,1,1
Apple,Fire Blight,34.1,54,38,8.0,53,1,1
Rice,Blast,41.2,40,106,7.2,87,1,0
Mango,Anthracnose,45.0,30,119,7.4,20,1,1
Soybean,Rust,36.6,60,5,6.7,45,0,1
Rice,Blast,20.6,70,339,5.2,25,1,1
Potato,Early Blight,26.6,74,266,7.3,24,1,1
Banana,Panama Disease,29.9,38,162,7.0,22,1,1
Groundnut,Tikka Disease,36.0,68,63,5.3,48,1,1
Wheat,Smut,17.5,70,300,5.3,45,1,1
Groundnut,Tikka Disease,21.2,57,167,7.1,77,1,1
Cotton,Boll Rot,27.0,90,92,6.6,43,0,0
Groundnut,Tikka Disease,28.5,46,95,7.4,16,1,1
Rice,Healthy,44.1,34,31,6.0,11,0,0
Grapes,Downy Mildew,15.4,46,239,6.2,54,1,1
Banana,Healthy,23.5,92,37,5.7,48,0,0
Rice,Bacterial Leaf Blight,43.9,40,31,7.4,46,1,0
Maize,Healthy,26.5,46,115,5.2,54,0,0
Groundnut,Tikka Disease,29.2,78,242,7.1,44,1,1
Mango,Healthy,42.9,80,351,7.8,54,0,0
Soybean,Bacterial Blight,35.9,58,21,5.0,23,1,0
Sugarcane,Red Rot,43.8,36,277,6.8,54,1,1
Banana,Healthy,37.6,45,304,6.8,61,0,0
Grapes,Downy Mildew,38.2,78,53,5.0,83,0,1
Grapes,Healthy,41.7,46,290,6.6,48,0,0
Sugarcane,Red Rot,19.3,82,36,5.3,35,1,0
Cotton,Boll Rot,42.8,74,4,7.5,46,0,1
Groundnut,Rust,32.7,66,308,7.5,66,1,0
Cotton,Leaf Curl Virus,42.8,34,242,7.9,48,1,1
Potato,Healthy,15.8,36,395,6.7,52,1,1
Tomato,Septoria Leaf Spot,37.9,92,252,7.9,71,1,1
Banana,Panama Disease,30.5,77,160,6.9,45,1,0
Apple,Fire Blight,15.3,53,163,7.2,77,1,1
Chilli,Anthracnose,41.1,81,53,6.9,35,1,1
Banana,Healthy,15.2,84,131,6.9,35,0,0
Grapes,Downy Mildew,23.1,67,323,6.0,39,0,0
Tomato,Late Blight,38.0,57,311,6.0,43,1,0
Rice,Brown Spot,43.9,31,74,5.5,48,0,1
Apple,Fire Blight,37.4,38,262,6.6,54,1,0
Mango,Powdery Mildew,38.9,54,294,5.1,46,0,1
Wheat,Rust,17.0,39,61,8.0,16,1,1
Chilli,Anthracnose,42.0,52,273,5.4,88,1,1
Onion,Downy Mildew,25.9,60,331,7.0,12,1,0
Wheat,Healthy,22.0,89,251,5.8,55,1,0
Mango,Healthy,33.5,41,226,8.2,82,0,0
Banana,Panama Disease,36.5,42,241,7.8,60,1,0
Tomato,Early Blight,32.1,63,217,6.9,26,1,0
Maize,Leaf Blight,33.2,62,307,6.4,69,1,1
Cotton,Healthy,41.0,71,143,5.0,17,0,0
Apple,Fire Blight,27.1,86,196,6.1,67,1,1
Maize,Healthy,42.7,43,14,6.2,35,1,0
Potato,Early Blight,29.7,46,116,6.0,64,1,0
Rice,Healthy,33.1,35,293,6.5,30,0,0
Maize,Healthy,25.8,79,252,5.1,57,0,0
Cotton,Leaf Curl Virus,41.1,41,231,7.0,41,1,0
Rice,Bacterial Leaf Blight,41.9,64,214,6.6,35,1,1
Maize,Healthy,36.9,59,89,8.1,66,0,0
Soybean,Bacterial Blight,44.7,86,250,7.4,87,1,0
Banana,Sigatoka,20.9,78,161,7.3,73,1,1
Tomato,Healthy,19.9,81,176,6.5,86,0,0
Cotton,Leaf Curl Virus,24.1,73,290,5.0,86,1,1
Cotton,Boll Rot,39.1,71,11,6.8,13,1,1
Onion,Downy Mildew,28.7,57,232,8.0,80,1,0
Apple,Healthy,42.1,83,308,7.9,55,0,0
Rice,Brown Spot,39.5,64,198,7.1,85,1,1
Rice,Brown Spot,17.7,68,60,6.8,69,1,1
Apple,Fire Blight,37.2,87,217,6.1,62,1,0
Cotton,Leaf Curl Virus,20.7,77,161,4.8,35,1,1
Mango,Anthracnose,29.8,51,265,5.0,43,1,1
Groundnut,Rust,42.9,78,278,5.3,41,1,0
Rice,Blast,37.6,88,343,7.1,67,1,0
Soybean,Healthy,30.7,70,45,4.9,90,0,0
Cotton,Boll Rot,20.6,69,136,7.6,72,1,0
Maize,Leaf Blight,18.8,62,275,4.9,50,0,0
Rice,Bacterial Leaf Blight,29.2,40,39,6.0,50,0,1
Wheat,Smut,17.0,52,210,5.3,85,1,0
Apple,Healthy,36.8,90,109,6.9,68,0,0
Grapes,Downy Mildew,22.9,78,254,7.9,50,1,1
Mango,Healthy,27.0,40,131,7.5,81,0,0
Cotton,Leaf Curl Virus,42.3,48,14,7.2,21,1,1
Wheat,Healthy,30.1,52,367,5.3,60,1,0
Onion,Downy Mildew,42.9,85,365,6.4,82,0,1
Mango,Anthracnose,27.4,48,166,5.3,56,1,1
Rice,Blast,22.4,83,109,6.4,38,1,0
Wheat,Powdery Mildew,18.6,67,235,7.8,68,1,0
Chilli,Anthracnose,37.2,68,204,6.8,77,1,0
Soybean,Rust,16.7,76,258,6.7,43,1,1
Potato,Healthy,30.5,30,43,5.2,53,1,0
Mango,Powdery Mildew,17.6,89,261,4.9,77,1,1
Maize,Leaf Blight,32.7,55,43,4.8,71,1,0
Apple,Healthy,23.5,88,282,6.9,16,0,0
Wheat,Smut,33.1,73,259,6.6,25,1,1
Sugarcane,Red Rot,39.7,79,167,7.3,11,1,1
Wheat,Smut,26.6,35,300,6.3,63,1,1
Grapes,Healthy,27.8,84,50,6.9,40,0,0
Soybean,Healthy,17.5,50,148,5.2,74,1,0
Rice,Blast,25.5,95,24,8.1,76,1,1
Banana,Healthy,19.2,70,353,6.2,49,0,0
Chilli,Leaf Curl,26.1,49,58,7.0,12,0,0
Onion,Downy Mildew,42.3,95,28,5.9,15,1,1
Onion,Purple Blotch,18.0,86,95,8.0,33,1,0
Cotton,Boll Rot,18.9,52,30,5.5,68,1,1
Potato,Late Blight,40.9,33,353,4.9,81,1,1
Apple,Fire Blight,36.8,71,244,5.9,67,1,1
Wheat,Healthy,16.9,53,184,6.5,50,0,0
Cotton,Leaf Curl Virus,24.0,32,366,8.2,62,0,1
Wheat,Powdery Mildew,41.0,44,359,5.6,84,1,1
Cotton,Leaf Curl Virus,32.8,85,79,5.0,50,0,1
Potato,Early Blight,19.3,79,306,5.8,43,1,1
Grapes,Downy Mildew,30.5,48,291,6.8,34,1,1
Cotton,Healthy,28.4,31,142,5.2,57,0,0
Potato,Early Blight,40.3,51,294,7.6,80,0,1
Mango,Healthy,44.7,82,148,6.6,11,0,0
Grapes,Healthy,43.3,44,58,5.5,90,0,1
Tomato,Late Blight,36.5,50,395,7.1,32,1,1
Onion,Downy Mildew,30.3,91,75,6.5,75,0,1
Onion,Downy Mildew,19.4,90,43,5.0,24,1,1
Chilli,Leaf Curl,21.0,44,390,7.9,15,1,1
Maize,Healthy,26.8,41,238,6.4,37,0,0
Rice,Healthy,26.2,39,226,7.1,51,0,0
Sugarcane,Healthy,35.7,42,351,5.6,43,0,0
Onion,Purple Blotch,34.8,51,154,7.2,16,1,0
Tomato,Early Blight,21.9,62,379,7.5,84,1,1
Tomato,Late Blight,37.7,56,35,6.9,66,1,1
Mango,Anthracnose,24.9,79,199,6.3,46,0,1
Sugarcane,Red Rot,35.1,65,4,6.2,38,0,1
Tomato,Early Blight,44.3,89,330,5.5,58,1,0
Chilli,Healthy,37.2,72,347,5.2,12,0,0
Mango,Healthy,24.1,73,195,6.0,57,0,0
Potato,Late Blight,40.0,52,308,5.3,75,1,0
Chilli,Anthracnose,23.6,57,360,6.0,64,1,0
Banana,Sigatoka,17.0,66,51,6.1,22,0,0
Sugarcane,Red Rot,37.6,82,262,6.5,69,0,0
Soybean,Rust,40.9,34,214,6.5,48,1,1
Mango,Healthy,43.3,92,162,6.7,28,1,0
Grapes,Downy Mildew,36.2,85,77,7.0,17,1,1
Maize,Leaf Blight,21.9,79,227,4.9,35,1,0
Potato,Healthy,19.2,81,376,8.1,59,0,0
Soybean,Healthy,24.9,85,148,7.4,49,0,0
Apple,Fire Blight,44.1,30,86,7.5,90,1,1
Soybean,Bacterial Blight,27.6,48,243,6.7,75,1,0
Groundnut,Healthy,29.9,92,374,5.6,62,0,0
Groundnut,Healthy,18.7,47,396,7.0,75,0,0
Apple,Healthy,30.7,94,229,6.2,77,0,0
Sugarcane,Healthy,37.9,60,310,5.7,57,1,0
Onion,Purple Blotch,21.6,95,3,5.7,84,0,1
Grapes,Powdery Mildew,19.0,91,400,6.1,52,1,1
Grapes,Powdery Mildew,38.7,32,367,5.5,86,0,1
